user_id,movie_title,rating,genre_x,movie_id,genre_y
1,The Matrix,1,Action,1,Comedy
1,Inception,3,Drama,2,Animation
1,The Dark Knight,2,Sci-Fi,3,Drama
1,Pulp Fiction,1,Fantasy,4,Fantasy
1,The Shawshank Redemption,1,Crime,5,Sci-Fi
1,Forrest Gump,1,Action,6,Animation
1,The Godfather,1,Drama,7,Drama
1,Fight Club,2,Fantasy,8,Animation
1,The Lord of the Rings,5,Action,9,Crime
1,The Avengers,5,Drama,10,Drama
1,The Lion King,5,Crime,11,Adventure
1,Titanic,2,Animation,12,Adventure
1,Star Wars,5,Comedy,13,Crime
1,Jurassic Park,1,Sci-Fi,14,Thriller
1,The Godfather Part II,4,Thriller,15,Crime
1,Back to the Future,3,Sci-Fi,16,Crime
1,Gladiator,2,Thriller,17,Animation
1,The Prestige,1,Adventure,18,Action
1,The Departed,4,Adventure,19,Adventure
1,Schindler's List,3,Thriller,20,Action
2,The Matrix,5,Comedy,1,Comedy
2,Inception,1,Animation,2,Animation
2,The Dark Knight,5,Adventure,3,Drama
2,Pulp Fiction,4,Adventure,4,Fantasy
2,The Shawshank Redemption,5,Comedy,5,Sci-Fi
2,Forrest Gump,5,Thriller,6,Animation
2,The Godfather,5,Drama,7,Drama
2,Fight Club,1,Action,8,Animation
2,The Lord of the Rings,2,Comedy,9,Crime
2,The Avengers,1,Drama,10,Drama
2,The Lion King,1,Crime,11,Adventure
2,Titanic,3,Animation,12,Adventure
2,Star Wars,3,Sci-Fi,13,Crime
2,Jurassic Park,3,Thriller,14,Thriller
2,The Godfather Part II,2,Comedy,15,Crime
2,Back to the Future,1,Sci-Fi,16,Crime
2,Gladiator,5,Drama,17,Animation
2,The Prestige,2,Animation,18,Action
2,The Departed,4,Comedy,19,Adventure
2,Schindler's List,5,Drama,20,Action
3,The Matrix,3,Action,1,Comedy
3,Inception,2,Action,2,Animation
3,The Dark Knight,3,Crime,3,Drama
3,Pulp Fiction,3,Adventure,4,Fantasy
3,The Shawshank Redemption,2,Thriller,5,Sci-Fi
3,Forrest Gump,2,Animation,6,Animation
3,The Godfather,4,Animation,7,Drama
3,Fight Club,2,Comedy,8,Animation
3,The Lord of the Rings,2,Drama,9,Crime
3,The Avengers,5,Fantasy,10,Drama
3,The Lion King,3,Crime,11,Adventure
3,Titanic,5,Crime,12,Adventure
3,Star Wars,3,Drama,13,Crime
3,Jurassic Park,2,Fantasy,14,Thriller
3,The Godfather Part II,4,Adventure,15,Crime
3,Back to the Future,1,Adventure,16,Crime
3,Gladiator,2,Sci-Fi,17,Animation
3,The Prestige,4,Adventure,18,Action
3,The Departed,4,Crime,19,Adventure
3,Schindler's List,5,Animation,20,Action
4,The Matrix,5,Comedy,1,Comedy
4,Inception,5,Action,2,Animation
4,The Dark Knight,1,Fantasy,3,Drama
4,Pulp Fiction,3,Thriller,4,Fantasy
4,The Shawshank Redemption,1,Comedy,5,Sci-Fi
4,Forrest Gump,4,Sci-Fi,6,Animation
4,The Godfather,4,Action,7,Drama
4,Fight Club,3,Fantasy,8,Animation
4,The Lord of the Rings,2,Fantasy,9,Crime
4,The Avengers,1,Comedy,10,Drama
4,The Lion King,5,Drama,11,Adventure
4,Titanic,2,Thriller,12,Adventure
4,Star Wars,2,Fantasy,13,Crime
4,Jurassic Park,5,Action,14,Thriller
4,The Godfather Part II,5,Thriller,15,Crime
4,Back to the Future,4,Action,16,Crime
4,Gladiator,1,Thriller,17,Animation
4,The Prestige,3,Drama,18,Action
4,The Departed,1,Drama,19,Adventure
4,Schindler's List,5,Adventure,20,Action
5,The Matrix,1,Animation,1,Comedy
5,Inception,1,Fantasy,2,Animation
5,The Dark Knight,2,Sci-Fi,3,Drama
5,Pulp Fiction,4,Fantasy,4,Fantasy
5,The Shawshank Redemption,2,Comedy,5,Sci-Fi
5,Forrest Gump,5,Crime,6,Animation
5,The Godfather,2,Fantasy,7,Drama
5,Fight Club,2,Comedy,8,Animation
5,The Lord of the Rings,4,Thriller,9,Crime
5,The Avengers,4,Fantasy,10,Drama
5,The Lion King,4,Adventure,11,Adventure
5,Titanic,2,Drama,12,Adventure
5,Star Wars,1,Thriller,13,Crime
5,Jurassic Park,1,Fantasy,14,Thriller
5,The Godfather Part II,2,Drama,15,Crime
5,Back to the Future,1,Adventure,16,Crime
5,Gladiator,1,Drama,17,Animation
5,The Prestige,1,Action,18,Action
5,The Departed,3,Adventure,19,Adventure
5,Schindler's List,5,Drama,20,Action
